Fecha,CeBeCategoria,CeBe,Categoria,SumaML
2026-08-01,300064391Articulos Six,300064391,Articulos Six,386.12
2026-08-01,300064391CERVEZA-SIDRA,300064391,CERVEZA-SIDRA,185034.18
2026-08-01,300064391CIGARRO,300064391,CIGARRO,22459.25
2026-08-01,300064391ENCENDEDORES SIX,300064391,ENCENDEDORES SIX,849.99
2026-08-01,300064391REHIDRATANTES,300064391,REHIDRATANTES,1372.29
2026-08-01,300064391RTD,300064391,RTD,3379.57
2026-08-01,300064391SPIRITS,300064391,SPIRITS,6939.96
2026-08-01,300064391TAE,300064391,TAE,102.33
2026-08-01,300064935Articulos Six,300064935,Articulos Six,371.54
2026-08-01,300064935CERVEZA-SIDRA,300064935,CERVEZA-SIDRA,295203.05
2026-08-01,300064935CIGARRO,300064935,CIGARRO,63037.92
2026-08-01,300064935ENCENDEDORES SIX,300064935,ENCENDEDORES SIX,1329.30
2026-08-01,300064935FARMACIA,300064935,FARMACIA,189.64
2026-08-01,300064935REHIDRATANTES,300064935,REHIDRATANTES,1987.82
2026-08-01,300064935RTD,300064935,RTD,2154.29
2026-08-01,300064935SPIRITS,300064935,SPIRITS,5005.99
2026-08-01,300064935TAE,300064935,TAE,945.50
2026-08-01,300064936Articulos Six,300064936,Articulos Six,435.33
2026-08-01,300064936CERVEZA-SIDRA,300064936,CERVEZA-SIDRA,222631.54
2026-08-01,300064936CIGARRO,300064936,CIGARRO,17762.08
2026-08-01,300064936ENCENDEDORES SIX,300064936,ENCENDEDORES SIX,330.19
2026-08-01,300064936FARMACIA,300064936,FARMACIA,47.41
2026-08-01,300064936REHIDRATANTES,300064936,REHIDRATANTES,1008.41
2026-08-01,300064936RTD,300064936,RTD,1980.28
2026-08-01,300064936SPIRITS,300064936,SPIRITS,2866.33
2026-08-01,300064936TAE,300064936,TAE,450.54
2026-08-01,300064941Articulos Six,300064941,Articulos Six,453.43
2026-08-01,300064941CERVEZA-SIDRA,300064941,CERVEZA-SIDRA,102287.80
2026-08-01,300064941CIGARRO,300064941,CIGARRO,11900.85
2026-08-01,300064941ENCENDEDORES SIX,300064941,ENCENDEDORES SIX,411.21
2026-08-01,300064941FARMACIA,300064941,FARMACIA,229.30
2026-08-01,300064941REHIDRATANTES,300064941,REHIDRATANTES,660.41
2026-08-01,300064941RTD,300064941,RTD,1071.54
2026-08-01,300064941SPIRITS,300064941,SPIRITS,3253.74
2026-08-01,300064941TAE,300064941,TAE,255.88
2026-08-01,300064942Articulos Six,300064942,Articulos Six,946.55
2026-08-01,300064942CERVEZA-SIDRA,300064942,CERVEZA-SIDRA,111437.36
2026-08-01,300064942CIGARRO,300064942,CIGARRO,18882.77
2026-08-01,300064942ENCENDEDORES SIX,300064942,ENCENDEDORES SIX,820.70
2026-08-01,300064942FARMACIA,300064942,FARMACIA,348.26
2026-08-01,300064942REHIDRATANTES,300064942,REHIDRATANTES,589.23
2026-08-01,300064942RTD,300064942,RTD,1544.11
2026-08-01,300064942SIMS,300064942,SIMS,60.34
2026-08-01,300064942SPIRITS,300064942,SPIRITS,1295.32
2026-08-01,300064942TAE,300064942,TAE,661.94
2026-08-01,300064950Articulos Six,300064950,Articulos Six,274.13
2026-08-01,300064950CERVEZA-SIDRA,300064950,CERVEZA-SIDRA,255912.55
2026-08-01,300064950CIGARRO,300064950,CIGARRO,42571.58
2026-08-01,300064950ENCENDEDORES SIX,300064950,ENCENDEDORES SIX,1450.03
2026-08-01,300064950FARMACIA,300064950,FARMACIA,222.40
2026-08-01,300064950REHIDRATANTES,300064950,REHIDRATANTES,2090.65
2026-08-01,300064950RTD,300064950,RTD,5197.92
2026-08-01,300064950SPIRITS,300064950,SPIRITS,4096.78
2026-08-01,300064950TAE,300064950,TAE,877.35
2026-08-01,300065072Articulos Six,300065072,Articulos Six,230.56
2026-08-01,300065072CERVEZA-SIDRA,300065072,CERVEZA-SIDRA,430742.50
2026-08-01,300065072CIGARRO,300065072,CIGARRO,59787.08
2026-08-01,300065072ENCENDEDORES SIX,300065072,ENCENDEDORES SIX,641.67
2026-08-01,300065072FARMACIA,300065072,FARMACIA,151.86
2026-08-01,300065072REHIDRATANTES,300065072,REHIDRATANTES,1767.86
2026-08-01,300065072RTD,300065072,RTD,7839.27
2026-08-01,300065072SPIRITS,300065072,SPIRITS,7382.50
2026-08-01,300065072TAE,300065072,TAE,496.92
2026-08-01,300065073CERVEZA-SIDRA,300065073,CERVEZA-SIDRA,456200.21
2026-08-01,300065073CIGARRO,300065073,CIGARRO,43201.85
2026-08-01,300065073ENCENDEDORES SIX,300065073,ENCENDEDORES SIX,116.65
2026-08-01,300065073FARMACIA,300065073,FARMACIA,68.52
2026-08-01,300065073REHIDRATANTES,300065073,REHIDRATANTES,1894.28
2026-08-01,300065073RTD,300065073,RTD,6847.57
2026-08-01,300065073SPIRITS,300065073,SPIRITS,11270.49
2026-08-01,300065073TAE,300065073,TAE,596.79
2026-08-01,300065074CERVEZA-SIDRA,300065074,CERVEZA-SIDRA,130145.89
2026-08-01,300065074CIGARRO,300065074,CIGARRO,14183.34
2026-08-01,300065074ENCENDEDORES SIX,300065074,ENCENDEDORES SIX,416.66
2026-08-01,300065074REHIDRATANTES,300065074,REHIDRATANTES,1560.50
2026-08-01,300065074RTD,300065074,RTD,4454.18
2026-08-01,300065074SPIRITS,300065074,SPIRITS,6572.52
2026-08-01,300065074TAE,300065074,TAE,563.29
2026-08-01,300065076Articulos Six,300065076,Articulos Six,127.78
2026-08-01,300065076CERVEZA-SIDRA,300065076,CERVEZA-SIDRA,82454.18
2026-08-01,300065076CIGARRO,300065076,CIGARRO,10370.38
2026-08-01,300065076ENCENDEDORES SIX,300065076,ENCENDEDORES SIX,141.66
2026-08-01,300065076FARMACIA,300065076,FARMACIA,119.45
2026-08-01,300065076REHIDRATANTES,300065076,REHIDRATANTES,159.21
2026-08-01,300065076TAE,300065076,TAE,93.05
2026-08-01,300065089Articulos Six,300065089,Articulos Six,582.42
2026-08-01,300065089CERVEZA-SIDRA,300065089,CERVEZA-SIDRA,274789.19
2026-08-01,300065089CIGARRO,300065089,CIGARRO,33485.17
2026-08-01,300065089ENCENDEDORES SIX,300065089,ENCENDEDORES SIX,249.07
2026-08-01,300065089FARMACIA,300065089,FARMACIA,75.93
2026-08-01,300065089REHIDRATANTES,300065089,REHIDRATANTES,1202.64
2026-08-01,300065089RTD,300065089,RTD,5129.91
2026-08-01,300065089SPIRITS,300065089,SPIRITS,6658.18
2026-08-01,300065089TAE,300065089,TAE,424.35
2026-08-01,300065096Articulos Six,300065096,Articulos Six,520.38
2026-08-01,300065096CERVEZA-SIDRA,300065096,CERVEZA-SIDRA,350469.92
2026-08-01,300065096CIGARRO,300065096,CIGARRO,53783.29
2026-08-01,300065096ENCENDEDORES SIX,300065096,ENCENDEDORES SIX,775.91
2026-08-01,300065096FARMACIA,300065096,FARMACIA,68.52
2026-08-01,300065096REHIDRATANTES,300065096,REHIDRATANTES,1560.49
2026-08-01,300065096RTD,300065096,RTD,5596.21
2026-08-01,300065096SPIRITS,300065096,SPIRITS,9806.57
2026-08-01,300065096TAE,300065096,TAE,600.52
2026-08-01,300065122Articulos Six,300065122,Articulos Six,180.56
2026-08-01,300065122CERVEZA-SIDRA,300065122,CERVEZA-SIDRA,141452.39
2026-08-01,300065122CIGARRO,300065122,CIGARRO,52237.06
2026-08-01,300065122ENCENDEDORES SIX,300065122,ENCENDEDORES SIX,1677.78
2026-08-01,300065122FARMACIA,300065122,FARMACIA,68.52
2026-08-01,300065122REHIDRATANTES,300065122,REHIDRATANTES,1323.58
2026-08-01,300065122RTD,300065122,RTD,3774.44
2026-08-01,300065122SPIRITS,300065122,SPIRITS,4569.21
2026-08-01,300065122TAE,300065122,TAE,282.26
2026-08-01,300065151CERVEZA-SIDRA,300065151,CERVEZA-SIDRA,251012.65
2026-08-01,300065151CIGARRO,300065151,CIGARRO,6934.28
2026-08-01,300065151ENCENDEDORES SIX,300065151,ENCENDEDORES SIX,161.12
2026-08-01,300065151REHIDRATANTES,300065151,REHIDRATANTES,1459.29
2026-08-01,300065151TAE,300065151,TAE,272.32
2026-08-01,300065236Articulos Six,300065236,Articulos Six,127.78
2026-08-01,300065236CERVEZA-SIDRA,300065236,CERVEZA-SIDRA,695414.10
2026-08-01,300065236CIGARRO,300065236,CIGARRO,76746.31
